,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
63,60526,3.21,2.33e-07,1.53e-08,3.01e-06,2.4e-07,0.00655,0.0016,0.17,0.09,0.085,0.03,25.0,5.0,5.0,0.38,0.11,45.97874450683594,0.27084240317344666,4.70522645192912e+28,5.868713017632337e+27,6.482265947113002e+51,1.672120023027869e+51,1.989094074073597e+52,4.032371340739421e+50,1.302856618518206e+50,3.1934914040659864e+49,5.0,0.040380047505938245,0.021377672209026127,0.09026128266033254,0.026128266033254157,0.35785,0.1263,105.25,21.05,21.05,21.05,0.40380047505938244,0.21377672209026125,17.8925,6.3149999999999995,0.35083333333333333,0.07016666666666667,0.07016666666666667,0.07016666666666667,0.9026128266033253,0.26128266033254155,-0.39383317445739435,0.22992060806642736,1.25267102588598,0.15328040537761828,-0.45489915021195654,0.08685889638065036,0.08685889638065036,0.08685889638065036,-0.0444984992188582,0.12571682370883605,51.81172684480701,0.1120275695267278,52.298655323539165,0.008804192044479197,50.11489662353095,0.10645190538071055
108,80516,3.2,2.77e-07,2.8e-08,5.88e-07,5.5e-08,,,0.15,0.01,0.168,0.055,66.0,24.0,24.0,,,46.0051155090332,0.28195449709892273,4.7627164929066e+28,6.184141818690562e+27,7.895853716465343e+51,2.2003311093075612e+51,3.990684188827249e+51,5.1891119451979714e+50,,,24.0,0.03571428571428571,0.0023809523809523807,,,0.7056000000000001,0.231,277.2,100.80000000000001,100.80000000000001,100.80000000000001,0.3571428571428571,0.023809523809523805,35.28000000000001,11.55,0.9239999999999999,0.336,0.336,0.336,,,-0.44715803134221926,0.028952965460216785,1.5475285764597821,0.14217974109927883,-0.034328028779893334,0.15792526614663702,0.15792526614663702,0.15792526614663702,,,51.897399093724346,0.12102448873129765,51.601047360338136,0.056471586754150024,,
17,20124,3.2,6.1e-07,1e-07,1.14e-05,1.1e-06,0.0041,0.00109,0.07,0.06,0.266,0.04,87.0,12.0,18.0,0.59,0.17,46.00983428955078,0.2770098149776459,4.773077504409557e+28,6.088906819981196e+27,1.7463716472151507e+52,5.2961035426301574e+51,7.770740350606057e+52,1.1341943045329013e+51,3.1860035437484833e+50,8.482862463694132e+49,15.0,0.016666666666666666,0.014285714285714285,0.14047619047619048,0.04047619047619048,1.1172000000000002,0.168,365.40000000000003,63.0,50.400000000000006,75.60000000000001,0.16666666666666666,0.14285714285714285,55.86000000000001,8.4,1.2180000000000002,0.21,0.168,0.252,1.4047619047619047,0.40476190476190477,-0.7781512503836436,0.37225241305993007,1.7471009313649863,0.06530744088770703,0.08564728829685662,0.0748783589488365,0.059902687159069205,0.0898540307386038,0.1476027212442437,0.12513569817551323,52.242136671877695,0.1317055592273467,52.8904623978055,0.006338833954557733,50.50324625452524,0.11563265100427711
66,060607A,3.08,2.66e-07,1.5e-08,6.33e-06,1.69e-07,,,1.98,0.11,0.025,0.008,120.0,17.0,190.0,1.23,0.68,45.997867584228516,0.27479177713394165,4.746846033345652e+28,6.006957544419525e+27,7.531852238909422e+51,1.9529992110327835e+51,4.3930252720308706e+52,4.698119452512647e+50,,,103.5,0.4852941176470588,0.02696078431372549,0.3014705882352941,0.16666666666666669,0.10200000000000001,0.03264,489.6,422.28000000000003,69.36,775.2,4.852941176470588,0.2696078431372549,5.1000000000000005,1.6320000000000001,1.6320000000000001,1.4076000000000002,0.2312,2.584,3.0147058823529407,1.6666666666666667,0.6860050271716511,0.024127471216847322,0.7075701760979364,0.13897423420904056,0.21272015441784237,0.3745789906415547,0.061525051602960665,0.6876329296801487,0.4792449483495179,0.2400977623530173,51.87690179136909,0.11261197825035324,52.6427637016655,0.0046445609282946805,,
112,80607,3.04,8.35e-06,2.42e-07,0.0001,0.0,,,0.04,0.01,0.035,0.003,394.0,33.0,35.0,0.18,0.06,45.955421447753906,0.2547008991241455,4.654959620733104e+28,5.459992931945358e+27,2.273673895701812e+53,5.374321649546477e+52,6.740006805305663e+53,1.3202402491682532e+52,,,34.0,0.009900990099009901,0.0024752475247524753,0.04455445544554455,0.01485148514851485,0.14140000000000003,0.01212,1591.76,137.36,133.32,141.4,0.099009900990099,0.02475247524752475,7.070000000000001,0.606,5.305866666666667,0.4578666666666667,0.44439999999999996,0.4713333333333333,0.4455445544554455,0.1485148514851485,-1.0043213737826426,0.10857362047581294,0.8494194137968994,0.03722524130599301,0.7247563322165167,0.03747718879368163,0.036374918535043925,0.03857945905231932,-0.35110886000729896,0.14476482730108395,53.35672817563178,0.10265492517566036,53.828660335037576,0.008507010030746458,,
83,70411,2.95,1.5e-07,1.31e-08,6.29e-06,2.19e-07,,,,,0.041,0.029,83.0,11.0,11.0,,,45.95199203491211,0.25966429710388184,4.6476138312845696e+28,5.557608622711589e+27,4.071563327871452e+51,1.0366463466593285e+51,4.3223853725420136e+52,2.49118583905022e+50,,,11.0,,,,,0.16195,0.11455000000000001,327.85,43.45,43.45,43.45,,,8.0975,5.727500000000001,1.0928333333333333,0.14483333333333334,0.14483333333333334,0.14483333333333334,,,,,0.9083509566822145,0.3071839018340074,0.0385539332828717,0.05755710001127434,0.05755710001127434,0.05755710001127434,,,51.60976119406714,0.1105741828838689,52.63572348483027,0.002503035176289147,,
34,50401,2.9,1.74e-06,9.09e-08,1.69e-05,3.83e-07,0.0022,0.000752,0.06,0.02,0.187,0.019,118.0,18.0,18.0,0.25,0.16,45.915103912353516,0.2553394138813019,4.5693288086048765e+28,5.372989012925244e+27,4.5652433683342916e+52,1.0998072991866463e+52,1.136938003608157e+53,2.7656678904835612e+51,2.5012636079379454e+50,8.571396588944315e+49,18.0,0.015384615384615384,0.005128205128205128,0.06410256410256411,0.041025641025641026,0.7293,0.0741,460.2,70.2,70.2,70.2,0.15384615384615383,0.05128205128205128,36.464999999999996,3.705,1.534,0.234,0.234,0.234,0.6410256410256411,0.41025641025641024,-0.8129133566428556,0.14476482730108395,1.5618762178990169,0.044126177305678,0.18582535961296218,0.06624831079880111,0.06624831079880111,0.06624831079880111,-0.19312459835446155,0.27794846841808113,52.659463934270626,0.10462536225488336,53.0557367835752,0.010564466134496273,50.3981594643974,0.14882518695627317
40,50603,2.82,8.01e-06,2.42e-07,2.73e-05,5.98e-07,,,-0.01,0.01,0.125,0.014,344.0,52.0,52.0,0.19,0.01,45.91754150390625,0.2571306824684143,4.5744609996376345e+28,5.416759032291829e+27,2.106309752946071e+53,5.028718516051671e+52,1.879269246407558e+53,1.3114092504702518e+52,,,52.0,-0.002617801047120419,0.002617801047120419,0.04973821989528796,0.002617801047120419,0.4775,0.05348,1314.08,198.64,198.64,198.64,-0.02617801047120419,0.02617801047120419,23.875,2.674,4.3802666666666665,0.6621333333333332,0.6621333333333332,0.6621333333333332,0.4973821989528796,0.02617801047120419,,0.43429448190325176,1.377943380255784,0.048640981973164195,0.6415005507635764,0.0656491658690962,0.0656491658690962,0.0656491658690962,-0.30330976195887976,0.02285760431069746,53.32352223869336,0.10368582776162394,53.27398900673816,0.030306343919842653,,
68,60714,2.71,2.3e-07,1.42e-08,6.88e-06,2.47e-07,,,,,0.125,0.022,103.0,16.0,21.0,,,45.885921478271484,0.2554177939891815,4.508332348272546e+28,5.302891705736031e+27,5.87448160711083e+51,1.4287624338016139e+51,4.736485814710244e+52,3.7680943082223254e+50,,,18.5,,,,,0.46375,0.08162,382.13,68.635,59.36,77.91,,,23.1875,4.0809999999999995,1.2737666666666667,0.22878333333333334,0.19786666666666666,0.2597,,,,,1.365253926959121,0.07643582881497231,0.10508987960055566,0.07800434869136076,0.06746322048982552,0.08854547689289599,,,51.7689695483728,0.10562696122830748,52.67545624097568,0.0034550141800691065,,
110,080603B,2.69,7.57e-07,2.63e-08,7.02e-06,1.78e-07,,,0.08,0.01,0.283,0.01,85.0,18.0,55.0,0.22,0.03,45.846519470214844,0.2365274727344513,4.427265045958622e+28,4.8223951999438313e+27,1.8645618266871163e+52,4.113275503938694e+51,4.6858853137092843e+52,1.1082294690980304e+51,,,36.5,0.02168021680216802,0.0027100271002710027,0.05962059620596206,0.008130081300813007,1.0442699999999998,0.0369,313.65,134.685,66.42,202.95,0.2168021680216802,0.027100271002710025,52.21349999999999,1.845,1.0454999999999999,0.44895,0.2214,0.6765,0.5962059620596205,0.08130081300813007,-0.6639363791671168,0.05428681023790647,1.7177828060193694,0.01534609476689936,0.01932403715369061,0.18649115987610226,0.09196824322657098,0.28101407652563354,-0.2246036853368542,0.05922197480498888,52.27057678863263,0.09580657655543408,52.6707916551033,0.010271227545918232,,
