,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
98,71122,1.14,6.76e-08,2.06e-08,1.41e-06,1.63e-07,,,,,0.391,0.392,73.0,30.0,30.0,,,44.04547247978673,0.18492641101312754,1.9316397080853228e+28,1.645018361832377e+27,3.1696317528203276e+50,1.1065272336008568e+50,3.089352410742592e+51,3.048915345897451e+49,,,30.0,,,,,0.8367399999999999,0.83888,156.21999999999997,64.19999999999999,64.19999999999999,64.19999999999999,,,41.836999999999996,41.943999999999996,0.5207333333333333,0.21399999999999997,0.21399999999999997,0.21399999999999997,,,,,1.6215605350810764,0.4354052094784519,-0.28338462125001573,0.1784771843438021,0.1784771843438021,0.1784771843438021,,,50.501008808902945,0.1516134078354443,51.4898674522675,0.004286099267629765,,
93,71003,1.1,4.71e-06,1.82e-07,6.73e-05,1.48e-06,,,0.38,0.05,0.072,0.007,799.0,61.0,75.0,0.88,0.07,43.97015950030247,0.18808778573850585,1.8657932972797838e+28,1.6161058662001513e+27,2.0604298277098606e+52,3.657108800102412e+51,1.4019505348789163e+53,1.7133502916227874e+51,,,68.0,0.18095238095238095,0.023809523809523808,0.41904761904761906,0.03333333333333333,0.1512,0.014700000000000001,1677.9,142.8,128.1,157.5,1.8095238095238093,0.23809523809523808,7.56,0.7350000000000001,5.593,0.47600000000000003,0.427,0.525,4.190476190476191,0.3333333333333333,0.2575643018828908,0.057144010776743664,0.8785217955012065,0.04222307462948282,0.7476448193282482,0.036961232502404406,0.03315639974480395,0.04076606526000486,0.6222633774162494,0.034546151969576847,52.3139578282965,0.07708402151067825,53.146732690657664,0.005307595087749441,,
106,080413B,1.1,3.17e-06,8.25e-08,8e-06,1.52e-07,,,0.23,0.01,0.004,0.003,73.0,10.0,10.0,0.5,0.03,43.97015950030247,0.18808778573850585,1.8657932972797838e+28,1.6161058662001513e+27,1.386743642004301e+52,2.4292869558777756e+51,1.666508808177018e+52,1.1508260173880687e+51,,,10.0,0.10952380952380952,0.0047619047619047615,0.23809523809523808,0.014285714285714285,0.008400000000000001,0.0063,153.3,21.0,21.0,21.0,1.0952380952380951,0.04761904761904761,0.42000000000000004,0.315,0.511,0.07,0.07,0.07,2.3809523809523805,0.14285714285714285,0.039508541283673565,0.01888236877840225,-0.3767507096020995,0.3257208614274388,-0.29157909986528724,0.059492394781267374,0.059492394781267374,0.059492394781267374,0.37675070960209944,0.02605766891419511,52.14199618338536,0.07607937674568362,52.22180761342563,0.029990683909379316,,
13,911,1.06,1.9e-05,1.9e-06,,,,,,,0.122,0.013,986.0,100.0,100.0,0.07,0.22,43.89227140056323,0.1915215551318762,1.8000555538055248e+28,1.587629838066443e+27,7.736335264609346e+52,1.5687069274146527e+52,,,,,100.0,,,0.03398058252427185,0.10679611650485436,0.25132,0.026779999999999998,2031.16,206.0,206.0,206.0,,,12.565999999999999,1.339,6.770533333333334,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.33980582524271846,1.0679611650485437,,,1.0991970553799204,0.04627728085854323,0.8306228805907022,0.04404609349931559,0.04404609349931559,0.04404609349931559,-0.46876918035489656,1.364925514553077,52.88853528222474,0.08806246614158217,,,,
104,80411,1.03,1.04e-05,1.31e-07,8.75e-05,2.01e-07,,,0.21,0.01,0.167,0.003,259.0,16.0,21.0,0.65,0.01,43.832050044591156,0.19428233096543185,1.7508205580288444e+28,1.5664647527887234e+27,4.0061432834446894e+52,7.186357305117615e+51,1.6603710558043304e+53,3.5316300923417915e+51,,,18.5,0.10344827586206895,0.004926108374384236,0.32019704433497537,0.004926108374384236,0.33901000000000003,0.006090000000000001,525.7700000000001,37.55500000000001,32.480000000000004,42.63,1.0344827586206895,0.04926108374384235,16.9505,0.30450000000000005,1.752566666666667,0.12518333333333337,0.10826666666666668,0.1421,3.2019704433497536,0.04926108374384235,0.014723256820706286,0.02068068961444056,1.229182513396815,0.007801697279699134,0.2436745472748024,0.031021034421660845,0.026829002743058022,0.03521306610026365,0.5054173187296427,0.0066814535677423344,52.60272647818186,0.07790523458047935,53.22020515399218,0.00923749818370877,,
10,991216,1.02,4.1e-05,3.8e-07,0.000248,2.5e-05,0.003,0.000946,0.03,0.01,0.062,0.003,318.0,30.0,30.0,0.09,0.01,43.811615033225024,0.19523888278266024,1.734421446977833e+28,1.5594326876926485e+27,1.5498975474985995e+53,2.7907509369342835e+52,4.641084179904041e+53,1.5817385028556703e+52,1.3923252539712123e+51,4.416034328130163e+50,30.0,0.01485148514851485,0.0049504950495049506,0.04455445544554455,0.0049504950495049506,0.12524,0.00606,642.36,60.6,60.6,60.6,0.1485148514851485,0.0495049504950495,6.262,0.303,2.1412,0.202,0.202,0.202,0.4455445544554455,0.0495049504950495,-0.8282301147269614,0.14476482730108392,0.7967130632808964,0.021014249124350893,0.330657234711394,0.04097117753804262,0.04097117753804262,0.04097117753804262,-0.35110886000729896,0.048254942433694645,53.19030299105636,0.07819921608579643,53.66661944571622,0.014801289461169216,51.143740700435885,0.13774506604201245
21,21211,1.01,2.3e-06,1.7e-07,,,,,0.31,0.01,0.006,0.003,46.0,6.0,8.0,0.57,0.01,43.79099362578834,0.19621389553484928,1.7180284592483402e+28,1.552407735652272e+27,8.530969855822622e+51,1.6656757293750495e+51,,,,,7.0,0.15422885572139305,0.0049751243781094535,0.2835820895522388,0.0049751243781094535,0.01206,0.00603,92.46,14.069999999999999,12.059999999999999,16.08,1.5422885572139304,0.04975124378109453,0.603,0.3015,0.3082,0.0469,0.04019999999999999,0.053599999999999995,2.835820895522388,0.04975124378109453,0.18816563641378384,0.01400949941623393,-0.2196826878598487,0.21714724095162588,-0.5111673656175996,0.06608829072440789,0.05664710633520675,0.07552947511360901,0.45267879825200247,0.007619201436899156,51.93099840737955,0.08479619435227777,,,,
94,071010A,0.98,1.17e-07,2.67e-08,4.97e-07,6.05e-08,,,,,-0.076,0.153,27.0,10.0,10.0,,,43.72797423943759,0.1992516527865856,1.668885250457324e+28,1.5313486968911308e+27,4.094950709479946e+50,1.1991724108996849e+50,8.785247788187571e+50,4.55450129488943e+49,,,10.0,,,,,-0.15048,0.30294,53.46,19.8,19.8,19.8,,,-7.524,15.146999999999998,0.1782,0.066,0.066,0.066,,,,,,0.8743033648841778,-0.749092300299144,0.1608498081123155,0.1608498081123155,0.1608498081123155,,,50.612248678567816,0.1271795432601171,50.94375401529346,0.022514957208734143,,
4,980703,0.97,1.2e-06,3.6e-08,2.83e-05,2.9e-06,0.0184,0.00267,0.69,0.02,0.024,0.001,254.0,25.0,25.0,3.0,0.19,43.70656989916789,0.20030248087427438,1.6525157535815711e+28,1.5243251706796847e+27,4.1179619248271966e+51,7.696829281324658e+50,4.929709072445418e+52,4.411336145015239e+50,9.070664693299569e+50,1.3187326740405884e+50,25.0,0.350253807106599,0.010152284263959392,1.5228426395939088,0.09644670050761421,0.04728,0.00197,500.38,49.25,49.25,49.25,3.5025380710659895,0.10152284263959391,2.364,0.09849999999999999,1.6679333333333333,0.16416666666666666,0.16416666666666666,0.16416666666666666,15.228426395939087,0.964467005076142,0.5443828645756623,0.012588245852268169,0.37364747220921773,0.01809560341263549,0.22217868806186852,0.0427455198723673,0.0427455198723673,0.0427455198723673,1.1826550285580695,0.027505317187205943,51.6146823267614,0.08117341894002435,52.69282129007647,0.003886271821412223,50.95763911308601,0.06313962017187227
2,970828,0.96,1e-05,1.1e-06,0.000123,1.2e-05,0.00532,0.00144,,,0.052,0.005,298.0,30.0,30.0,0.36,0.14,43.68495991135661,0.20137277450523783,1.636151861451068e+28,1.5172950777933615e+27,3.364008508594183e+52,7.254065954775357e+51,2.111086972230023e+53,3.596837520047623e+51,1.1230982692263724e+51,3.045981640625285e+50,30.0,,,0.1836734693877551,0.07142857142857144,0.10192,0.0098,584.08,58.8,58.8,58.8,,,5.096,0.49,1.9469333333333334,0.19599999999999998,0.19599999999999998,0.19599999999999998,1.836734693877551,0.7142857142857143,,,0.707229419327294,0.04175908479838959,0.28935108071306886,0.04372092099697165,0.04372092099697165,0.04372092099697165,0.26404642941081125,0.16889229851793125,52.52685708558926,0.09365020354356154,53.32450612567218,0.007399442599037815,51.05041775796723,0.11778604372824832
